ID,Crop Name,N (kg/ha),P (kg/ha),K (kg/ha),Temp (°C),Rain (mm),Hum (%),pH,Soil Type,Season
3459,Guava,89.08,50.03,87.57,26.76,1550.94,69.77,6.32,Loamy,Perennial
3460,Dragon Fruit,61.32,46.53,83.18,31.05,734.17,54.92,6.91,Loamy,Perennial
3461,Amla,70.27,51.79,56.36,28.35,522.23,62.65,8.98,Alluvial,Perennial
3462,Amaranth,60.73,32.25,32.49,20.04,680.17,54.52,7.29,Forest,Kharif
3463,Sesame,59.01,36.0,28.63,26.94,630.02,49.03,5.74,Alluvial,Kharif
3464,Oil Palm,166.62,88.22,160.62,29.05,2968.81,76.15,6.25,Alluvial,Perennial
3465,Jowar,94.36,40.93,49.1,28.13,748.72,55.4,6.55,Loamy,Kharif
3466,Watermelon,72.99,74.33,84.54,33.24,539.51,57.32,6.54,Arid/Desert,Zaid
3467,Ragi,73.78,34.79,35.79,28.84,722.99,61.16,7.73,Loamy,Kharif
3468,Turmeric,114.52,54.73,125.99,30.84,2037.55,75.52,5.6,Alluvial,Kharif
3469,Fenugreek,49.63,42.69,27.91,15.91,460.97,55.86,7.48,Black,Rabi
3470,Kiwi,139.07,75.57,110.62,16.21,1473.26,67.78,6.46,Forest,Perennial
3471,Cinnamon,93.8,50.19,87.87,28.79,2173.26,90.68,6.41,Laterite,Perennial
3472,Tomato,143.7,85.11,130.01,21.6,601.39,61.15,6.57,Loamy,Kharif/Rabi
3473,Makhana,65.04,51.28,53.43,25.91,2090.3,87.41,6.16,Peaty,Kharif
3474,Pomegranate,98.61,58.78,75.12,37.41,664.38,63.59,7.17,Saline,Perennial
3475,Rubber,93.12,70.02,82.35,29.28,2810.38,94.66,4.78,Red,Perennial
3476,Amaranth,58.83,33.56,37.28,26.47,590.48,63.41,6.26,Alluvial,Kharif
3477,Amaranth,61.91,39.35,39.06,21.74,598.13,50.86,6.53,Forest,Kharif
3478,Plum,142.98,64.0,110.52,0.0,829.49,71.39,6.24,Loamy,Perennial
3479,Black Gram,20.19,40.32,23.77,30.04,839.9,55.3,6.65,Loamy,Kharif
3480,Tulsi,79.85,43.53,48.31,34.8,1073.1,66.69,6.23,Loamy,Perennial
3481,Tea (Clone),152.13,37.09,87.62,26.97,1661.54,92.42,5.13,Laterite,Perennial
3482,Turmeric,144.73,56.95,133.24,25.5,2756.33,78.28,6.59,Alluvial,Kharif
3483,Cashew Nut,65.26,30.93,56.74,31.1,1527.53,61.32,6.7,Laterite,Perennial
3484,Brinjal,118.51,60.7,61.2,31.77,1082.64,60.35,6.38,Loamy,Kharif/Rabi
3485,Foxtail Millet,56.19,29.54,25.15,27.83,645.57,44.18,6.19,Alluvial,Kharif
3486,Aloe Vera,33.51,33.72,23.65,20.3,266.08,36.12,7.39,Arid,Perennial
3487,Proso Millet,38.05,22.3,23.32,30.34,409.73,43.79,6.58,Red,Kharif
3488,Spinach,81.57,57.16,50.86,18.29,717.65,78.93,6.01,Loamy,Rabi
3489,Coriander,78.2,47.14,49.94,16.49,474.99,50.28,7.81,Loamy,Rabi
3490,Moth Beans,22.43,36.25,18.18,31.02,254.63,47.43,7.78,Sandy,Kharif
3491,Buckwheat,43.22,20.47,22.98,0.0,563.9,51.98,6.41,Forest/Mountain,Kharif/Rabi
3492,Gokhru,33.39,30.36,35.89,22.84,339.52,42.55,7.62,Sandy,Kharif
3493,Fennel,83.32,40.79,42.75,29.31,479.91,57.79,6.83,Alluvial,Rabi
3494,Betel Vine,150.44,109.02,138.58,30.19,1905.23,91.64,6.92,Alluvial,Perennial
3495,Barley,63.62,30.56,28.26,17.98,474.33,56.49,7.06,Alluvial,Rabi
3496,Sweet Potato,64.32,46.9,105.0,30.48,1158.79,82.53,6.67,Loamy,Kharif/Rabi
3497,Marigold,67.78,60.27,66.99,22.02,604.15,61.49,7.0,Loamy,Kharif/Rabi
3498,Rubber,114.74,75.22,110.05,32.54,2208.74,75.95,5.87,Red,Perennial
3499,Cowpea,36.73,53.25,29.72,25.95,896.07,65.26,6.79,Red,Kharif
3500,Tulsi,61.0,43.62,47.71,21.44,878.36,77.9,7.27,Red,Perennial
3501,Bajra,70.96,39.8,33.85,31.52,479.8,52.63,7.47,Alluvial,Kharif
3502,Litchi,130.64,77.01,106.67,23.61,1514.7,65.32,6.16,Forest,Perennial
3503,Amaranth,51.11,37.12,32.93,22.0,592.29,67.76,6.01,Alluvial,Kharif
3504,Sesame,56.87,38.26,23.11,22.83,623.17,49.1,7.21,Sandy,Kharif
3505,Apricot,149.57,69.41,93.44,0.0,922.96,53.54,6.36,Karewa,Perennial
3506,Toria,72.02,49.5,34.72,16.92,693.04,41.97,7.11,Alluvial,Rabi
3507,Peach,133.75,79.96,83.48,0.0,826.83,61.49,6.49,Mountain,Perennial
3508,Watermelon,71.2,64.32,87.84,36.0,448.18,56.85,6.49,Alluvial,Zaid
3509,Capsicum,109.2,83.86,111.27,20.32,824.41,65.97,6.73,Loamy,Kharif/Rabi
3510,Pumpkin,64.39,56.36,68.07,31.4,886.96,70.06,7.45,Sandy Loam,Zaid/Kharif
3511,Tomato,129.16,92.98,149.06,20.95,742.18,68.99,6.72,Red,Kharif/Rabi
3512,Tea,177.38,49.31,82.25,17.92,1530.74,94.98,4.77,Forest,Perennial
3513,Onion,103.93,58.22,95.52,15.14,553.85,69.8,6.79,Alluvial,Kharif/Rabi
3514,Stevia,91.57,64.32,72.94,27.14,1604.85,89.36,6.61,Red,Perennial
3515,Barnyard Millet,32.4,22.66,23.79,20.28,434.28,57.85,5.66,Forest,Kharif
3516,Sunn Hemp,29.32,56.48,39.5,27.78,820.08,69.19,7.09,Sandy,Kharif
3517,Bitter Gourd,77.17,57.13,68.95,31.03,526.33,62.93,6.38,Red,Zaid/Kharif
3518,Buckwheat,46.13,38.0,31.38,0.0,794.66,68.51,6.33,Forest/Mountain,Kharif/Rabi
3519,Star Anise,74.02,58.31,50.45,19.52,2197.09,77.83,6.09,Sub-Montane,Perennial
3520,Pomegranate,63.63,40.12,85.61,21.18,727.17,52.34,8.37,Saline,Perennial
3521,Sapota,110.82,64.35,101.39,29.08,1466.92,79.16,6.42,Coastal,Perennial
3522,Taramira,51.15,35.44,23.22,24.34,286.42,48.78,8.05,Arid/Desert,Rabi
3523,Ridge Gourd,66.18,48.19,68.87,31.56,578.25,68.56,7.45,Red,Zaid/Kharif
3524,Little Millet,39.66,22.6,21.79,26.51,691.74,51.13,6.22,Gravelly,Kharif
3525,Kalmegh,51.98,35.73,42.69,27.81,1446.67,81.84,7.22,Red,Kharif
3526,Capsicum,110.52,90.35,118.75,19.24,955.28,67.56,6.08,Forest,Kharif/Rabi
3527,Chironji,48.82,39.4,31.89,35.84,763.19,40.89,7.58,Laterite,Perennial
3528,Cotton,144.29,60.49,54.68,28.94,525.01,54.21,7.11,Alluvial,Kharif
3529,Linseed,60.19,43.44,22.25,22.19,581.94,60.81,6.67,Black,Rabi
3530,Coconut,0.0,0.0,0.0,30.75,1037.5,94.96,5.74,Sandy,Perennial
3531,Potato,170.91,134.23,193.77,23.62,652.28,64.6,6.08,Peaty,Rabi
3532,Garlic,105.44,54.52,86.01,19.84,505.06,74.6,7.29,Loamy,Rabi
3533,Chickpea,22.35,59.09,24.14,19.78,478.16,45.1,7.46,Alluvial,Rabi
3534,Jackfruit,116.97,50.25,115.43,33.56,1921.15,82.57,5.08,Laterite,Perennial
3535,Opium Poppy,82.17,78.96,70.29,17.13,633.08,61.37,6.66,Alluvial,Rabi
3536,Mace,71.12,57.03,101.51,29.88,2995.78,87.0,6.99,Red,Perennial
3537,Cabbage,138.54,97.91,84.11,20.04,574.34,73.63,6.48,Peaty,Rabi
3538,Maize (Corn),135.07,75.25,55.85,23.66,642.66,66.45,6.1,Loamy,Kharif
3539,Dragon Fruit,65.62,44.23,85.14,27.53,1177.4,68.98,6.9,Laterite,Perennial
3540,Groundnut,32.78,60.59,62.01,30.96,946.27,74.0,6.95,Sandy,Kharif
3541,Toria,73.37,48.89,26.76,22.34,688.3,57.34,6.77,Loamy,Rabi
3542,Amla,72.99,42.26,58.6,40.83,645.4,45.01,7.79,Red,Perennial
3543,Jowar,88.68,40.32,41.21,30.52,507.41,57.06,7.5,Alluvial,Kharif
3544,Aloe Vera,27.01,30.15,36.76,33.72,440.93,46.29,7.63,Saline,Perennial
3545,Potato,138.76,112.11,153.08,16.42,574.86,68.06,6.32,Peaty,Rabi
3546,Nutmeg,86.13,42.25,94.42,31.65,3084.6,80.05,5.79,Coastal,Perennial
3547,Aloe Vera,32.37,28.58,23.14,23.78,250.77,40.11,8.4,Sandy,Perennial
3548,Tomato,145.45,87.18,129.69,19.64,633.07,75.6,6.41,Alluvial,Kharif/Rabi
3549,Sunflower,95.43,71.19,58.04,27.78,725.04,63.58,7.64,Black,Kharif/Rabi/Zaid
3550,Plum,105.51,71.06,81.48,0.0,1146.02,57.08,6.45,Forest,Perennial
3551,Hemp (Mesta),66.21,48.56,40.08,29.95,956.31,84.13,6.56,Alluvial,Kharif
3552,Fennel,90.84,43.3,56.14,15.88,789.62,51.56,6.82,Saline,Rabi
3553,Neem,41.68,35.79,41.36,26.39,513.33,43.85,6.42,Saline,Perennial
3554,Coriander,60.28,46.37,46.34,16.45,534.83,63.48,6.41,Black,Rabi
3555,Sapota,104.57,61.77,99.19,26.59,1159.51,72.27,7.37,Alluvial,Perennial
3556,Watermelon,72.0,61.22,89.1,30.74,516.56,64.99,6.67,Alluvial,Zaid
3557,Saffron,92.93,51.94,66.66,0.0,400.17,47.48,7.43,Karewa Soil,Rabi (Autumn)
3558,Ash Gourd,70.26,58.9,61.47,23.44,855.39,64.96,6.72,Red,Zaid/Kharif
3559,French Bean,91.07,94.34,41.29,21.71,620.4,67.29,5.72,Loamy,Kharif/Rabi
3560,Linseed,61.43,45.94,34.82,16.55,625.79,51.82,7.2,Alluvial,Rabi
3561,Stevia,88.94,64.41,78.84,23.09,1405.54,74.93,7.29,Alluvial,Perennial
3562,Pear,136.95,68.32,87.7,0.0,1178.83,66.05,6.99,Loamy,Perennial
3563,Almonds,149.74,86.32,108.82,0.0,749.83,40.53,6.7,Arid,Perennial
3564,Mustard,82.7,46.11,33.8,12.08,512.7,53.42,6.81,Loamy,Rabi
3565,Neem,52.78,39.88,53.06,36.33,408.02,43.15,6.57,Red,Perennial
3566,Brahmi,65.58,43.6,49.44,29.37,2869.3,94.21,6.23,Peaty/Marshy,Perennial
3567,Ber,47.65,32.48,41.6,26.69,412.09,50.05,8.25,Saline,Perennial
3568,Mace,63.7,40.57,89.15,30.32,2987.93,75.92,6.15,Coastal,Perennial
3569,Amla,82.31,56.81,54.16,23.58,761.81,68.08,8.18,Red,Perennial
3570,Grapes,146.57,182.87,248.36,35.17,521.55,61.11,6.92,Loamy,Perennial (Fruiting: Spring)
3571,Fig,62.57,48.34,82.52,34.58,702.17,45.14,6.54,Alluvial,Perennial
3572,Cinnamon,82.44,41.82,86.58,24.99,2996.05,81.9,6.12,Red,Perennial
3573,Okra,118.78,58.42,58.45,32.38,740.64,65.72,7.07,Alluvial,Kharif/Zaid
3574,Grapes,110.61,152.78,235.73,25.75,680.63,67.22,7.23,Loamy,Perennial (Fruiting: Spring)
3575,Cowpea,24.83,43.24,31.54,22.34,693.79,56.99,6.16,Red,Kharif
3576,Groundnut,41.47,50.2,60.11,20.36,525.4,59.95,6.49,Sandy,Kharif
3577,Ginger,146.62,61.31,118.88,31.29,2376.01,75.64,6.46,Red,Kharif
3578,Green Gram,36.67,50.0,37.33,29.64,799.56,51.04,6.92,Loamy,Kharif/Zaid
3579,Foxtail Millet,57.49,29.34,26.3,20.31,491.53,40.49,7.39,Alluvial,Kharif
3580,Isabgol,56.93,38.85,38.27,27.62,314.69,54.9,8.0,Alluvial,Rabi
3581,Okra,109.28,50.38,58.68,23.75,819.46,70.31,6.53,Black,Kharif/Zaid
3582,Nutmeg,92.46,41.36,91.63,25.79,2374.69,76.74,6.23,Coastal,Perennial
3583,Tobacco,102.39,59.3,105.28,24.24,1087.33,61.35,6.98,Sandy,Kharif/Rabi
3584,Ber,53.82,40.61,46.18,40.3,553.71,36.48,8.11,Arid,Perennial
3585,Apple,190.09,102.75,191.82,0.0,1194.8,53.41,6.32,Forest,Perennial (Fruiting: Autumn)
3586,Nutmeg,86.54,48.31,88.37,29.34,2623.15,84.26,6.82,Red,Perennial
3587,Tea,157.28,34.59,66.8,17.27,1952.63,80.87,5.38,Laterite,Perennial
3588,Apple,155.53,144.42,162.55,0.0,928.13,62.58,6.09,Karewa,Perennial (Fruiting: Autumn)
3589,Coriander,69.85,47.76,44.59,26.58,462.95,64.96,6.73,Loamy,Rabi
3590,Makhana,77.85,46.95,54.02,26.08,2465.71,93.16,7.1,Peaty,Kharif
3591,Brahmi,61.64,44.01,48.69,21.93,2868.53,85.08,7.24,Alluvial,Perennial
3592,Karakunda,68.63,51.06,54.95,26.81,1581.44,83.45,7.15,Forest,Perennial
3593,Opium Poppy,95.24,79.58,60.85,17.82,644.67,63.05,6.34,Loamy,Rabi
3594,Opium Poppy,96.19,60.4,76.06,14.03,670.19,62.92,6.16,Loamy,Rabi
3595,Coriander,68.44,42.74,42.74,15.8,641.12,66.92,6.1,Black,Rabi
3596,Sapota,110.61,65.74,96.84,32.06,1990.66,74.81,7.22,Alluvial,Perennial
3597,Cinnamon,96.85,53.81,90.28,25.94,2346.89,76.37,5.46,Forest,Perennial
3598,French Bean,75.26,84.58,58.41,16.65,943.48,72.78,5.51,Loamy,Kharif/Rabi
3599,Horse Gram,25.15,37.31,22.23,28.42,605.2,44.93,7.2,Red,Kharif
3600,Cashew Nut,75.67,33.56,43.2,30.15,2099.92,73.32,5.52,Red,Perennial
3601,Peach,146.53,77.94,115.59,0.0,971.41,60.85,6.4,Loamy,Perennial
3602,Banana,203.48,83.15,227.64,28.09,2050.12,75.93,6.97,Alluvial,Perennial
3603,Indigo,49.17,41.22,48.02,26.39,628.96,68.12,6.06,Alluvial,Kharif
3604,Star Anise,67.09,46.43,57.46,26.68,2011.63,85.07,6.96,Forest,Perennial
3605,Ridge Gourd,67.24,44.3,72.65,26.95,559.86,63.64,7.03,Alluvial,Zaid/Kharif
3606,Vanilla,96.32,46.88,95.61,23.19,2102.31,85.25,6.11,Laterite,Perennial
3607,Ash Gourd,70.65,57.7,60.78,30.18,634.56,74.31,7.42,Red,Zaid/Kharif
3608,Potato,163.78,122.8,192.18,22.74,713.38,79.57,5.42,Peaty,Rabi
3609,Indigo,31.18,54.1,46.34,27.13,1074.27,74.95,6.21,Alluvial,Kharif
3610,Jasmine,109.43,108.36,114.97,30.04,1332.53,71.71,6.71,Red,Perennial
3611,Ashwagandha,32.1,48.73,23.73,29.76,602.09,40.06,7.7,Red,Kharif/Rabi
3612,Toria,65.64,47.32,30.83,15.24,602.5,56.57,6.92,Alluvial,Rabi
3613,Date Palm,94.04,46.16,84.31,41.67,191.48,32.87,8.24,Sandy,Perennial
3614,Litchi,144.0,66.19,107.48,24.82,1664.59,71.82,6.75,Loamy,Perennial
3615,Oil Palm,151.27,116.16,176.62,29.07,2229.65,89.47,5.31,Alluvial,Perennial
3616,Arecanut,146.68,47.89,151.52,19.79,3249.76,84.01,6.99,Red,Perennial
3617,Ginger,125.76,62.67,109.59,22.27,2769.87,82.47,5.99,Laterite,Kharif
3618,Jowar,84.95,41.07,46.51,32.29,675.2,46.8,6.07,Black,Kharif
3619,Lemongrass,64.31,58.14,53.82,24.24,1680.63,70.85,5.54,Alluvial,Perennial
3620,Rapeseed,92.76,58.37,31.88,19.86,513.65,42.63,6.21,Loamy,Rabi
3621,Khesari,23.06,44.44,24.79,17.63,482.7,49.66,7.72,Clayey,Rabi
3622,Sunn Hemp,23.18,40.01,30.36,21.42,642.85,69.61,5.75,Alluvial,Kharif
3623,Rubber,97.94,65.87,116.84,28.67,3051.39,76.31,4.96,Red,Perennial
3624,Guar Seed,20.1,44.23,27.2,26.72,393.89,37.55,7.01,Sandy,Kharif
3625,Lettuce,98.31,42.05,57.98,15.36,469.44,72.51,6.18,Alluvial,Rabi
3626,Jasmine,117.42,118.39,114.77,25.38,1708.86,87.54,6.55,Alluvial,Perennial
3627,Maize (Corn),135.06,67.48,57.51,29.05,779.88,53.58,6.57,Alluvial,Kharif
3628,Sweet Potato,67.95,51.42,141.49,25.32,1032.73,81.91,6.11,Sandy,Kharif/Rabi
3629,Cotton,129.02,58.53,64.54,25.11,601.7,56.06,7.04,Alluvial,Kharif
3630,Buckwheat,46.95,38.84,20.02,0.0,603.23,55.63,5.91,Forest/Mountain,Kharif/Rabi
3631,Linseed,78.78,45.12,37.31,27.03,782.79,49.55,6.96,Black,Rabi
3632,Mushrooms,18.98,9.89,5.67,26.56,710.78,84.37,6.93,Peaty/Organic Waste,Year-round
3633,Okra,100.21,51.74,56.52,31.83,800.78,63.59,6.07,Alluvial,Kharif/Zaid
3634,Banana,229.26,69.85,270.84,27.09,2251.33,87.48,6.68,Loamy,Perennial
3635,Plum,140.44,73.98,95.39,0.0,799.91,61.56,6.48,Mountain,Perennial
3636,Lemongrass,69.51,56.5,58.05,22.91,2060.44,86.32,5.71,Laterite,Perennial
3637,Clove,86.22,46.37,99.79,31.36,2308.38,86.81,5.21,Laterite,Perennial
3638,Mace,69.26,49.1,95.13,27.33,2446.76,79.27,6.9,Laterite,Perennial
3639,Carrot,94.47,71.4,108.68,16.91,715.32,63.59,6.81,Alluvial,Rabi
3640,Neem,48.47,37.96,52.78,26.14,739.44,49.51,7.97,Sandy,Perennial
3641,Neem,51.37,36.7,49.31,22.67,419.78,40.01,7.69,Saline,Perennial
3642,Moth Beans,17.34,35.37,17.31,33.13,282.25,34.37,8.03,Arid/Desert,Kharif
3643,Fennel,84.08,41.66,55.79,25.72,738.68,65.57,7.42,Alluvial,Rabi
3644,Wood Apple,54.22,41.89,46.02,28.57,600.21,58.64,8.27,Red,Perennial
3645,Mushrooms,19.93,8.34,8.54,23.73,889.77,85.97,7.21,Peaty/Organic Waste,Year-round
3646,Plum,106.98,76.34,85.75,0.0,877.99,73.72,6.24,Loamy,Perennial
3647,Strawberry,122.92,83.1,149.89,0.0,922.97,78.64,6.44,Forest/Mountain,Rabi/Winter
3648,Cocoa,118.97,69.27,100.93,31.88,1859.65,82.55,6.43,Alluvial,Perennial
3649,Okra,104.13,52.91,53.37,34.66,1042.9,62.23,6.48,Black,Kharif/Zaid
3650,Cotton,135.87,61.39,61.08,29.44,631.18,47.28,7.2,Alluvial,Kharif
3651,Soybean,22.12,75.11,43.19,31.15,953.06,73.18,7.06,Black,Kharif
3652,Kalmegh,56.57,45.04,34.76,24.19,1671.22,83.41,6.21,Forest,Kharif
3653,Mentha,136.49,53.77,58.61,21.58,1345.55,72.99,6.91,Alluvial,Zaid
3654,Cherry,131.97,94.99,137.42,0.0,885.36,62.37,6.38,Karewa,Perennial
3655,Jowar,98.65,40.74,48.8,26.79,630.92,49.79,7.12,Alluvial,Kharif
3656,Sweet Corn,122.49,62.18,50.99,26.74,1183.57,76.77,6.93,Loamy,Kharif
3657,Avocado,104.4,77.36,145.93,20.83,1048.8,71.57,5.55,Laterite,Perennial
3658,Arecanut,100.44,45.04,169.6,18.46,2854.46,81.31,5.32,Red,Perennial
3659,Oats,88.87,46.61,43.57,23.34,731.0,63.51,6.61,Alluvial,Rabi
3660,Guar Seed,28.63,56.6,28.88,36.05,376.27,32.47,8.46,Arid/Desert,Kharif
3661,Fennel,97.59,41.31,47.3,23.19,640.63,54.94,7.87,Saline,Rabi
3662,Star Anise,72.16,52.34,51.75,24.28,1524.43,70.8,5.81,Forest,Perennial
3663,Plum,106.61,64.85,119.58,0.0,754.61,72.56,6.36,Loamy,Perennial
3664,Cherry,143.66,86.83,133.74,0.0,975.25,62.55,6.47,Forest,Perennial
3665,Cinnamon,90.8,54.15,92.88,20.93,3079.94,90.87,5.19,Laterite,Perennial
3666,Cardamom,75.58,93.98,192.08,24.94,2203.4,92.24,5.79,Red,Perennial
3667,Mushrooms,16.64,8.56,5.68,26.23,670.22,83.31,7.34,Peaty/Organic Waste,Year-round
3668,Garlic,113.28,51.78,94.8,22.83,628.86,51.71,7.05,Alluvial,Rabi
3669,Black Pepper,105.39,56.53,170.21,22.69,2984.0,79.2,5.66,Forest,Perennial
3670,Pear,113.45,67.68,81.77,0.0,1188.8,71.79,6.92,Mountain,Perennial
3671,Plum,144.13,76.27,103.24,0.0,803.88,74.22,5.97,Loamy,Perennial
3672,Fig,71.07,45.67,90.55,24.87,779.53,46.17,6.57,Saline,Perennial
3673,Custard Apple,44.51,39.48,50.91,20.45,744.48,63.92,6.15,Red,Perennial
3674,Aloe Vera,29.67,25.18,23.89,33.76,386.47,37.45,7.34,Saline,Perennial
3675,Kodo Millet,38.36,20.23,20.1,25.4,590.0,39.87,6.44,Gravelly,Kharif
3676,Cowpea,33.67,45.39,39.19,32.31,817.59,68.22,6.01,Alluvial,Kharif
3677,Wood Apple,43.48,49.24,59.73,38.93,536.73,56.93,7.64,Saline,Perennial
3678,Cashew Nut,61.66,34.48,53.87,23.75,1410.34,75.64,6.29,Red,Perennial
3679,Groundnut,34.48,50.98,60.1,26.9,1074.28,56.59,6.34,Sandy,Kharif
3680,Arecanut,131.13,43.57,166.34,30.11,2880.45,85.73,5.78,Laterite,Perennial
3681,Garlic,105.47,57.73,83.37,24.58,526.17,60.9,6.37,Black,Rabi
3682,Betel Vine,172.48,136.22,125.27,32.13,2272.83,94.33,6.72,Alluvial,Perennial
3683,Betel Vine,159.62,123.44,147.76,21.11,1625.63,91.31,6.02,Alluvial,Perennial
3684,Mace,77.88,42.0,106.11,31.53,2537.19,87.1,6.16,Coastal,Perennial
3685,Betel Vine,160.19,119.79,124.58,34.62,1976.8,86.95,6.95,Red,Perennial
3686,Cashew Nut,63.73,33.93,50.59,27.42,1045.51,78.88,6.62,Laterite,Perennial
3687,Sunflower,98.49,77.16,58.81,21.26,581.95,67.93,6.96,Loamy,Kharif/Rabi/Zaid
3688,Ragi,69.75,39.83,36.65,28.8,785.1,59.0,6.92,Laterite,Kharif
3689,Peach,106.99,63.14,88.02,0.0,1132.11,62.74,6.04,Loamy,Perennial
3690,Sesame,50.17,36.58,30.84,32.09,510.27,40.85,6.81,Sandy,Kharif
3691,Mulberry,159.23,137.62,134.49,27.11,1354.62,62.41,7.29,Red,Perennial
3692,Betel Vine,151.24,115.03,118.51,22.35,1806.16,89.1,6.65,Red,Perennial
3693,Fennel,90.29,47.54,56.14,28.16,588.13,58.79,7.69,Loamy,Rabi
3694,Ridge Gourd,73.09,54.91,67.63,24.41,849.46,67.86,7.32,Red,Zaid/Kharif
3695,Groundnut,27.35,61.55,54.48,28.58,1078.91,58.44,6.17,Sandy,Kharif
3696,Dragon Fruit,67.15,58.04,88.94,34.62,570.86,65.95,5.66,Laterite,Perennial
3697,Makhana,63.16,49.73,46.62,20.53,2516.92,86.73,7.11,Peaty,Kharif
3698,Walnuts,190.3,96.77,126.22,0.0,1144.42,60.69,7.13,Forest,Perennial
3699,Walnuts,171.67,108.34,147.04,0.0,867.3,50.09,7.36,Forest,Perennial
3700,Safflower,47.97,40.92,20.93,22.88,527.88,38.45,7.38,Black,Rabi
3701,Sugarcane,205.98,83.4,133.76,26.78,1982.37,67.77,7.02,Black,Perennial (Annual)
3702,Shatavari,54.45,59.21,52.23,25.71,1083.06,64.93,6.39,Sandy,Perennial
3703,Brinjal,142.75,78.81,89.36,30.32,906.82,78.88,6.3,Black,Kharif/Rabi
3704,Oil Palm,179.26,115.86,237.4,25.66,2742.51,94.07,5.5,Alluvial,Perennial
3705,Okra,117.11,53.88,55.48,23.78,995.42,66.14,6.49,Loamy,Kharif/Zaid
3706,Chironji,39.1,42.36,32.2,32.3,463.19,54.49,7.39,Laterite,Perennial
3707,Niger Seed,59.12,50.84,32.06,21.16,770.11,62.52,5.59,Laterite,Kharif
3708,Green Gram,39.92,48.26,33.3,26.52,823.53,52.73,6.94,Alluvial,Kharif/Zaid
3709,Bitter Gourd,63.45,50.83,75.87,34.69,659.02,65.08,7.2,Red,Zaid/Kharif
3710,Plum,138.83,76.88,102.29,0.0,1158.5,70.86,6.6,Mountain,Perennial
3711,Hemp (Mesta),60.99,33.13,58.26,32.46,892.0,65.43,7.23,Alluvial,Kharif
3712,Dragon Fruit,67.63,44.52,84.23,24.13,846.63,50.53,6.01,Laterite,Perennial
3713,Cauliflower,146.18,89.27,80.32,25.48,747.56,61.4,6.11,Loamy,Rabi
3714,Black Gram,30.0,49.81,35.69,30.4,842.6,50.11,7.0,Black,Kharif
3715,Makhana,65.16,57.69,51.18,25.88,2181.66,81.75,6.47,Peaty,Kharif
3716,Sesame,41.29,26.0,35.53,30.68,443.45,42.25,6.48,Red,Kharif
3717,Betel Vine,152.33,114.03,137.7,30.61,1555.66,78.69,7.29,Red,Perennial
3718,Sweet Corn,132.34,71.86,58.69,24.44,904.43,70.34,6.76,Alluvial,Kharif
3719,Chironji,42.0,30.45,41.82,26.83,637.25,51.26,7.08,Gravelly,Perennial
3720,Lettuce,89.4,49.06,56.79,19.51,696.95,75.97,6.63,Alluvial,Rabi
3721,Bajra,63.06,32.24,39.76,36.21,432.04,50.39,8.13,Sandy,Kharif
3722,Sweet Corn,139.72,66.07,54.58,26.57,732.17,65.83,6.24,Loamy,Kharif
3723,Tea,158.17,39.46,79.55,19.78,2476.02,92.56,5.3,Laterite,Perennial
3724,Okra,113.71,53.41,53.18,26.12,854.61,76.8,6.9,Black,Kharif/Zaid
3725,Gokhru,28.69,25.17,31.62,36.98,528.08,48.59,7.28,Sandy,Kharif
3726,Mulberry,205.66,128.18,141.12,30.52,847.49,63.38,6.53,Black,Perennial
3727,Betel Vine,156.69,149.22,126.42,30.87,2313.54,77.49,6.5,Red,Perennial
3728,Tomato,104.82,92.04,134.47,28.15,609.41,73.83,6.34,Alluvial,Kharif/Rabi
3729,Watermelon,62.94,77.4,85.27,30.09,472.14,49.43,6.37,Arid/Desert,Zaid
3730,Mace,76.59,45.83,105.3,28.62,3265.23,92.89,6.21,Red,Perennial
3731,Cabbage,148.72,87.1,95.16,25.52,597.16,75.31,6.88,Peaty,Rabi
3732,Ginger,125.85,57.3,129.26,28.57,2580.58,87.34,6.51,Red,Kharif
3733,Pineapple,111.17,57.3,106.04,29.37,1625.81,89.09,5.09,Red,Perennial
3734,Okra,118.61,56.97,55.98,30.95,738.83,69.61,6.83,Loamy,Kharif/Zaid
3735,Green Gram,33.2,47.64,26.47,26.71,608.73,64.36,7.07,Loamy,Kharif/Zaid
3736,Karakunda,65.77,46.17,41.51,20.1,1779.23,68.82,6.59,Forest,Perennial
3737,Rose,134.81,125.72,142.91,19.48,1433.27,65.26,6.61,Red,Perennial
3738,Ash Gourd,68.1,56.51,69.5,23.76,523.15,55.35,6.03,Sandy Loam,Zaid/Kharif
3739,Avocado,129.52,52.84,103.92,22.26,1398.28,72.01,5.72,Loamy,Perennial
3740,Potato,129.36,130.89,185.26,23.72,761.01,75.14,6.31,Sandy Loam,Rabi
3741,Custard Apple,55.62,47.68,54.95,27.68,857.43,67.99,7.67,Sandy,Perennial
3742,Grapes,139.86,162.15,288.36,29.28,819.07,74.36,6.55,Alluvial,Perennial (Fruiting: Spring)
3743,Avocado,114.57,68.15,142.34,23.02,1785.12,74.12,5.43,Loamy,Perennial
3744,Karakunda,71.87,43.08,55.37,28.28,1803.16,76.02,6.82,Forest,Perennial
3745,Stevia,90.71,64.02,64.01,17.63,1700.3,71.4,6.03,Red,Perennial
3746,Star Anise,65.73,46.43,43.52,23.44,2053.88,74.92,5.61,Sub-Montane,Perennial
3747,Fig,73.01,46.17,98.53,33.47,762.96,59.38,7.51,Sandy,Perennial
